round,number,option_1,option_2,option_3,option_4,option_5
77,28,홍경래 등이 봉기하여 정주성을 점령하였다.,신돈이 중심이 되어 전민변정 사업을 운영하였다.,삼정의 문란을 시정하고자 삼정이정청이 설치되었다.,기금의 이자로 빈민을 구휼하는 제위보가 만들어졌다.,황사영이 외국 군대의 출병을 요청하는 백서를 작성하였다.
77,29,운요호가 강화도와 영종도를 공격하였다.,오페르트가 남연군 묘 도굴을 시도하였다.,교조 신원을 요구하는 보은 집회가 열렸다.,병인박해로 천주교 신부와 신자들이 처형되었다.,김홍집이 가지고 온 조선책략이 조선에 유포되었다.
77,30,박문국을 두어 한성순보를 발행하였다.,근대식 무기 제조 시설인 기기창을 설립하였다.,군제를 개편하여 친위대와 진위대를 설치하였다.,공사 노비법을 혁파하고 과부의 재가를 허용하였다.,비변사를 혁파하여 의정부와 삼군부의 기능을 회복하였다.
77,31,김옥균 등 개화파가 주도하였다.,제물포 조약이 체결되는 계기가 되었다.,전개 과정에서 홍범 14조가 반포되었다.,통리기무아문이 설치되는 배경이 되었다.,외규장각 도서가 약탈되는 결과를 가져왔다.
77,32,한인 자치 기구인 경학사를 조직하였다.,한인 교육을 위해 박달 학원을 설립하였다.,무장 투쟁을 위해 대조선 국민 군단을 결성하였다.,유학생을 중심으로 2·8 독립 선언서를 발표하였다.,대한 광복군 정부를 중심으로 무장 독립 투쟁을 준비하였다.
77,33,청의 알선으로 체결이 추진되었다.,통감부가 설치되는 결과를 가져왔다.,천주교 포교를 허용하는 근거가 되었다.,스티븐스가 외교 고문으로 부임하는 계기가 되었다.,대한 제국 군대의 해산을 규정하는 내용이 포함되어 있다.
77,34,만세보를 발행하였다.,대성 학교를 설립하였다.,만민 공동회를 개최하였다.,부민관 폭파 의거를 계획하였다.,일제의 황무지 개간권 요구를 저지하였다.
77,35,7재라는 전문 강좌가 있었다.,덕원부 관민이 합심하여 만들었다.,교육입국 조서에 근거하여 세워졌다.,주요 건물로 대성전과 명륜당을 두었다.,좌원과 우원을 구분하여 학생을 선발하였다.
77,36,고종의 강제 퇴위에 반대하는 시위를 주도하였다.,조선 총독부에 국권 반환 요구서를 제출하려 하였다.,독립운동 자금 마련을 위해 독립 공채를 발행하였다.,신채호가 쓴 조선 혁명 선언을 활동 지침으로 삼았다.,신규식을 중심으로 조직되어 교민들의 단결을 도모하였다.
77,37,태형을 집행하는 헌병 경찰,원수부에서 업무를 처리하는 관리,몸뻬 착용을 홍보하는 애국반 반장,경인선 개통식에 참석하는 일본인 거류민,나운규가 감독한 아리랑의 첫 상영을 준비하는 단성사 직원
77,38,"개벽, 신여성 등의 잡지를 발행하였다.",중추원 개편을 통해 의회 설립을 추진하였다.,군사 조직으로 한인 국방 경위대를 창설하였다.,순종의 인산일을 기회로 만세 운동을 계획하였다.,광주 학생 항일 운동에 진상 조사단을 파견하였다.
77,39,조선 민립 대학 기성회가 조직되었어요.,메가타의 주도로 화폐 정리 사업이 시행되었어요.,귀속 재산 관리를 위해 신한 공사가 운영되었어요.,회사 설립을 허가제로 하는 회사령이 공포되었어요.,농민의 자력갱생을 내세운 농촌 진흥 운동이 추진되었어요.
77,40,"김민기, 아침 이슬","윤심덕, 사의 찬미","현인, 굳세어라 금순아","코리아나, 손에 손 잡고","이해연, 단장의 미아리 고개"
77,41,흥경성 전투에서 일본군을 격퇴하였다.,일본군의 공세를 피해 자유시로 이동하였다.,이른바 남한 대토벌 작전으로 큰 피해를 입었다.,영국군의 요청으로 인도·미얀마 전선에 파견되었다.,한국인 유격대를 중심으로 조국 광복회를 조직하였다.
77,42,흥사단을 창립함.,이토 히로부미를 사살함.,한국독립운동지혈사를 저술함.,한국 독립군의 총사령관으로 활약함.,김원봉 등과 함께 민족 혁명당을 결성함.
77,43,제헌절 – 첫 헌법 제정의 의미를 강조하다,가갸날 – 우리 말과 글의 소중함을 되새기다,향토 예비군의 날 – 범국민적인 안보의식을 조성하다,은사의 날 – 스승을 향한 감사와 공경의 마음을 전하다,이산가족의 날 - 이산가족 문제에 대한 관심을 제고하다
77,44,원산 총파업에 동참하는 노동자,국채 보상 운동에 성금을 내는 상인,원각사에서 연극 은세계를 공연하는 배우,황국 신민 서사를 암송하는 국민학교 학생,조선 형평사 창립 대회 현장을 취재하는 기자
77,45,농지 개혁의 전개 과정을 알아본다.,광주 대단지 사건의 결과를 파악한다.,개발 제한 구역 설정의 목적을 찾아본다.,산미 증식 계획의 추진 배경을 분석한다.,지계아문이 추진한 정책의 내용을 조사한다.
77,46,광복에 대비하여 조선 건국 동맹을 결성하였다.,대한민국 임시 정부 초대 국무총리를 역임하였다.,정읍에서 남한만의 단독 정부 수립을 주장하였다.,헤이그에서 열린 만국 평화 회의에 특사로 파견되었다.,민족을 역사 서술의 중심에 둔 독사신론을 발표하였다.
77,47,최저 임금 위원회가 설치되었다.,포항 제철소 1기 설비가 준공되었다.,전국 민주 노동조합 총연맹이 창립되었다.,칠레와의 자유 무역 협정(FTA)이 체결되었다.,경제 협력 개발 기구(OECD) 회원국이 되었다.
77,48,애치슨 라인이 발표되었다.,부마 민주 항쟁이 일어났다.,사사오입의 논리로 개헌안이 통과되었다.,반민족 행위 특별 조사 위원회가 해체되었다.,"민의원, 참의원으로 구성된 양원제 국회가 탄생하였다."
77,49,헝가리에 상주 대표부가 설치되었다.,박종철 고문 치사 사건이 발생하였다.,평화 통일을 주장한 조봉암이 처형되었다.,대통령 긴급 명령으로 금융 실명제가 실시되었다.,서울역에서 청량리역 간에 서울 지하철 1호선이 개통되었다.
77,50,(가) - 서안평을 공격하여 영토를 확대하였다.,(나) - 소지 마립간과 혼인 동맹을 맺었다.,(다) - 국호를 남부여라 칭하였다.,(라) - 쌍성총관부를 수복하였다.,(마) - 경국대전을 완성하였다.
